                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.87344,                0.50911,                0.93905,                0.85175,                0.68531,                0.75133,                0.53745,                 1.1673,                0.65012,                 1.1098,             0.00069122,             0.00069122,             0.00069122
                    123,                0.84466,                0.50524,                  0.932,                0.91824,                0.70351,                0.78742,                0.56559,                 1.1513,                0.64878,                  1.107,             0.00068942,             0.00068942,             0.00068942
                    124,                0.85661,                0.51007,                 0.9453,                0.85273,                0.73459,                0.79264,                0.54904,                 1.1577,                 0.6412,                 1.1092,             0.00068762,             0.00068762,             0.00068762
                    125,                0.86337,                 0.5074,                 0.9389,                  0.834,                0.74363,                0.79528,                0.55796,                 1.1743,                0.66326,                 1.1071,             0.00068582,             0.00068582,             0.00068582
                    126,                0.88319,                0.50396,                0.94991,                0.68807,                0.74073,                0.72369,                0.52277,                 1.1607,                0.65067,                 1.0949,             0.00068402,             0.00068402,             0.00068402
                    127,                0.87937,                 0.5132,                 0.9466,                0.76734,                0.73571,                0.74675,                0.52599,                 1.1614,                0.64342,                 1.0979,             0.00068222,             0.00068222,             0.00068222
                    128,                0.86507,                0.50218,                0.93577,                0.83336,                0.67539,                0.76342,                0.53783,                 1.1645,                0.63286,                 1.1188,             0.00068042,             0.00068042,             0.00068042
                    129,                0.85762,                0.49711,                0.94106,                0.78166,                 0.7271,                0.76423,                0.53394,                 1.1813,                0.66046,                 1.1202,             0.00067862,             0.00067862,             0.00067862
                    130,                0.85747,                0.49851,                0.93291,                0.79633,                0.70953,                 0.7587,                0.54402,                 1.1498,                0.64794,                 1.1067,             0.00067682,             0.00067682,             0.00067682
                    131,                0.86122,                0.50606,                0.93143,                0.70354,                0.65152,                0.70037,                0.50786,                 1.1654,                0.64842,                  1.107,             0.00067502,             0.00067502,             0.00067502
                    132,                0.87182,                0.50798,                0.93698,                0.74739,                0.70003,                0.74132,                0.54046,                 1.1709,                0.65709,                 1.1041,             0.00067322,             0.00067322,             0.00067322
                    133,                0.84864,                0.49666,                0.93326,                0.78862,                0.72035,                0.76154,                0.54049,                 1.1763,                0.62205,                 1.1107,             0.00067142,             0.00067142,             0.00067142
                    134,                0.86998,                0.50944,                0.94708,                0.80309,                0.69602,                0.76273,                0.53424,                 1.1695,                0.63665,                 1.1111,             0.00066962,             0.00066962,             0.00066962
                    135,                0.85998,                0.50991,                0.93508,                  0.834,                 0.7154,                0.78641,                 0.5465,                 1.1706,                0.61769,                 1.1061,             0.00066782,             0.00066782,             0.00066782
                    136,                0.83896,                0.49303,                0.93027,                 0.8935,                0.68996,                0.75607,                0.53892,                 1.1585,                0.64203,                 1.1093,             0.00066602,             0.00066602,             0.00066602
                    137,                0.83188,                0.49576,                0.92813,                0.76126,                0.73935,                0.78041,                0.53961,                 1.1674,                0.62545,                 1.1193,             0.00066422,             0.00066422,             0.00066422
                    138,                0.83861,                0.49277,                0.93993,                0.73761,                0.72942,                0.77443,                 0.5382,                 1.1648,                0.63516,                 1.1164,             0.00066242,             0.00066242,             0.00066242
                    139,                0.83812,                0.48767,                0.92918,                0.79399,                0.74815,                0.78886,                0.55712,                 1.1673,                0.62505,                 1.1053,             0.00066062,             0.00066062,             0.00066062
                    140,                0.84667,                0.49211,                0.92834,                0.71738,                0.71128,                0.74954,                0.52293,                 1.1712,                0.66357,                 1.1105,             0.00065883,             0.00065883,             0.00065883
                    141,                0.81666,                0.48012,                 0.9265,                0.84149,                0.69692,                0.75682,                0.52581,                 1.1519,                0.67069,                 1.0903,             0.00065703,             0.00065703,             0.00065703
                    142,                0.81306,                0.47398,                  0.927,                 0.7342,                 0.7216,                0.72433,                0.51393,                 1.1897,                0.64843,                 1.1055,             0.00065523,             0.00065523,             0.00065523
                    143,                0.82568,                 0.4898,                0.92731,                0.84468,                0.69005,                0.77587,                0.55563,                 1.1404,                0.62266,                 1.0888,             0.00065343,             0.00065343,             0.00065343
                    144,                0.81817,                0.48221,                0.91878,                0.80056,                0.69718,                0.76785,                0.54881,                 1.1436,                0.62415,                 1.0937,             0.00065163,             0.00065163,             0.00065163
                    145,                0.80996,                0.47636,                0.92036,                0.70595,                0.72357,                0.75827,                0.53378,                 1.1629,                0.63642,                 1.1005,             0.00064983,             0.00064983,             0.00064983
